theme_name,top_keywords,cluster_id
Volkswagen/Galpin,"id, volkswagen, galpin, compact suv, compact",0
Specified/Financing,"specified, financing, volkswagen, rental, infotainment audio",1
Design,"modern, eco, comfort, id, friendly",2
Mentioned/Rental,"mentioned, rental, uzbekistan, booking, online",3
Volkswagen/Note,"volkswagen, note, id, promoting volkswagen, performance interior",4
Explicitly Mentioned/Explicitly,"explicitly mentioned, explicitly, mentioned, volvo, hyundai",5
Hyundai/Motor,"kia, hyundai, motor, innovative, innovation",6
Tesla/High,"tesla, high, interior, limited, sleek",7
Mentioned/Financing,"mentioned, financing, volkswagen, incentives, id",8
Hyundai/Ioniq,"hyundai, ioniq, hyundai ioniq, details about, performance interior",9
Rental/Uzbekistan,"rental, uzbekistan, booking, online, free",10
Performance,"volvo, mentioned, performance, deals, offers",11
